network_size,seed,strategy,task,topology,performance
100,456,module_based,classification,modular,"{'input_nodes': [17, 20, 0, 22, 9], 'output_nodes': [89, 79, 77, 76, 92], 'avg_path_length': 2.08}"
100,456,module_based,regression,small_world,"{'input_nodes': [65, 71, 36, 13, 40], 'output_nodes': [32, 67, 87, 1, 85], 'avg_path_length': 4.84}"
100,456,module_based,regression,modular,"{'input_nodes': [17, 20, 0, 22, 9], 'output_nodes': [89, 79, 77, 76, 92], 'avg_path_length': 2.08}"
100,456,module_based,clustering,small_world,"{'input_nodes': [65, 71, 36, 13, 40], 'output_nodes': [32, 67, 87, 1, 85], 'avg_path_length': 4.84}"
100,456,module_based,clustering,modular,"{'input_nodes': [17, 20, 0, 22, 9], 'output_nodes': [89, 79, 77, 76, 92], 'avg_path_length': 2.08}"
200,42,random,classification,small_world,"{'input_nodes': [95, 15, 30, 158, 128], 'output_nodes': [115, 69, 170, 174, 45], 'avg_path_length': 6.36}"
200,42,random,classification,modular,"{'input_nodes': [95, 15, 30, 158, 128], 'output_nodes': [115, 69, 170, 174, 45], 'avg_path_length': 1.88}"
200,42,random,regression,small_world,"{'input_nodes': [95, 15, 30, 158, 128], 'output_nodes': [115, 69, 170, 174, 45], 'avg_path_length': 6.36}"
200,42,random,regression,modular,"{'input_nodes': [95, 15, 30, 158, 128], 'output_nodes': [115, 69, 170, 174, 45], 'avg_path_length': 1.88}"
200,42,random,clustering,small_world,"{'input_nodes': [95, 15, 30, 158, 128], 'output_nodes': [115, 69, 170, 174, 45], 'avg_path_length': 6.36}"
200,42,random,clustering,modular,"{'input_nodes': [95, 15, 30, 158, 128], 'output_nodes': [115, 69, 170, 174, 45], 'avg_path_length': 1.88}"
200,42,centrality_based,classification,small_world,"{'input_nodes': [80, 117, 166, 118, 49], 'output_nodes': [50, 82, 64, 172, 66], 'avg_path_length': 3.4}"
200,42,centrality_based,classification,modular,"{'input_nodes': [16, 14, 191, 65, 116], 'output_nodes': [129, 119, 33, 101, 84], 'avg_path_length': 1.8}"
200,42,centrality_based,regression,small_world,"{'input_nodes': [80, 117, 166, 118, 49], 'output_nodes': [50, 82, 64, 172, 66], 'avg_path_length': 3.4}"
200,42,centrality_based,regression,modular,"{'input_nodes': [16, 14, 191, 65, 116], 'output_nodes': [129, 119, 33, 101, 84], 'avg_path_length': 1.8}"
200,42,centrality_based,clustering,small_world,"{'input_nodes': [80, 117, 166, 118, 49], 'output_nodes': [50, 82, 64, 172, 66], 'avg_path_length': 3.4}"
200,42,centrality_based,clustering,modular,"{'input_nodes': [16, 14, 191, 65, 116], 'output_nodes': [129, 119, 33, 101, 84], 'avg_path_length': 1.8}"
200,42,distance_based,classification,small_world,"{'input_nodes': [30, 32, 31, 28, 29], 'output_nodes': [175, 174, 173, 177, 176], 'avg_path_length': 9.72}"
200,42,distance_based,classification,modular,"{'input_nodes': [0, 23, 27, 30, 128], 'output_nodes': [60, 84, 40, 81, 44], 'avg_path_length': 1.96}"
200,42,distance_based,regression,small_world,"{'input_nodes': [30, 32, 31, 28, 29], 'output_nodes': [175, 174, 173, 177, 176], 'avg_path_length': 9.72}"
200,42,distance_based,regression,modular,"{'input_nodes': [0, 23, 27, 30, 128], 'output_nodes': [60, 84, 40, 81, 44], 'avg_path_length': 1.96}"
200,42,distance_based,clustering,small_world,"{'input_nodes': [30, 32, 31, 28, 29], 'output_nodes': [175, 174, 173, 177, 176], 'avg_path_length': 9.72}"
200,42,distance_based,clustering,modular,"{'input_nodes': [0, 23, 27, 30, 128], 'output_nodes': [60, 84, 40, 81, 44], 'avg_path_length': 1.96}"
200,42,module_based,classification,small_world,"{'input_nodes': [95, 15, 30, 158, 128], 'output_nodes': [115, 69, 170, 174, 45], 'avg_path_length': 6.36}"
200,42,module_based,classification,modular,"{'input_nodes': [13, 39, 30, 45, 17], 'output_nodes': [179, 188, 152, 196, 195], 'avg_path_length': 1.88}"
200,42,module_based,regression,small_world,"{'input_nodes': [95, 15, 30, 158, 128], 'output_nodes': [115, 69, 170, 174, 45], 'avg_path_length': 6.36}"
200,42,module_based,regression,modular,"{'input_nodes': [13, 39, 30, 45, 17], 'output_nodes': [179, 188, 152, 196, 195], 'avg_path_length': 1.88}"
200,42,module_based,clustering,small_world,"{'input_nodes': [95, 15, 30, 158, 128], 'output_nodes': [115, 69, 170, 174, 45], 'avg_path_length': 6.36}"
200,42,module_based,clustering,modular,"{'input_nodes': [13, 39, 30, 45, 17], 'output_nodes': [179, 188, 152, 196, 195], 'avg_path_length': 1.88}"
200,123,random,classification,small_world,"{'input_nodes': [50, 127, 37, 149, 19], 'output_nodes': [104, 179, 53, 162, 158], 'avg_path_length': 5.96}"
200,123,random,classification,modular,"{'input_nodes': [50, 127, 37, 149, 19], 'output_nodes': [104, 179, 53, 162, 158], 'avg_path_length': 1.8}"
200,123,random,regression,small_world,"{'input_nodes': [50, 127, 37, 149, 19], 'output_nodes': [104, 179, 53, 162, 158], 'avg_path_length': 5.96}"
200,123,random,regression,modular,"{'input_nodes': [50, 127, 37, 149, 19], 'output_nodes': [104, 179, 53, 162, 158], 'avg_path_length': 1.8}"
200,123,random,clustering,small_world,"{'input_nodes': [50, 127, 37, 149, 19], 'output_nodes': [104, 179, 53, 162, 158], 'avg_path_length': 5.96}"
200,123,random,clustering,modular,"{'input_nodes': [50, 127, 37, 149, 19], 'output_nodes': [104, 179, 53, 162, 158], 'avg_path_length': 1.8}"
200,123,centrality_based,classification,small_world,"{'input_nodes': [2, 73, 63, 75, 160], 'output_nodes': [158, 193, 187, 34, 129], 'avg_path_length': 3.56}"
200,123,centrality_based,classification,modular,"{'input_nodes': [40, 43, 112, 78, 171], 'output_nodes': [55, 176, 155, 92, 189], 'avg_path_length': 1.8}"
200,123,centrality_based,regression,small_world,"{'input_nodes': [2, 73, 63, 75, 160], 'output_nodes': [158, 193, 187, 34, 129], 'avg_path_length': 3.56}"
200,123,centrality_based,regression,modular,"{'input_nodes': [40, 43, 112, 78, 171], 'output_nodes': [55, 176, 155, 92, 189], 'avg_path_length': 1.8}"
200,123,centrality_based,clustering,small_world,"{'input_nodes': [2, 73, 63, 75, 160], 'output_nodes': [158, 193, 187, 34, 129], 'avg_path_length': 3.56}"
